City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
São Borja,-28.6606,-56.0044,75.2,51,42,5.57,BR,1627250031
Rameshki,57.3439,36.0453,61.38,57,100,2.91,RU,1627250102
Orissaare,58.5592,23.0826,60.96,70,3,6.22,EE,1627250102
Nehe,48.4833,124.8333,68.11,98,100,2.73,CN,1627250104
Nakamura,32.9833,132.9333,75.61,92,100,3.56,JP,1627250104
Malhador,-10.6578,-37.3047,72.25,95,24,4.16,BR,1627250105
Palauig,15.435,119.9045,81.43,88,100,13.67,PH,1627250106
Arrondissement de Marseille,43.3333,5.5,74.86,62,99,6.15,FR,1627250088
Fairbanks,64.8378,-147.7164,70.02,52,75,1.99,US,1627249891
Ayr,55.4627,-4.6339,66.18,77,75,4.61,GB,1627250107
Ambon City,-3.6954,128.1814,75.34,94,40,2.3,ID,1627250107
Kang,-23.6752,22.7876,43.66,52,2,8.68,BW,1627250108
Arrecife,28.963,-13.5477,75.27,78,20,20.71,ES,1627250108
The Hague,52.0767,4.2986,66.97,90,20,1.99,NL,1627250109
São João do Piauí,-8.3581,-42.2467,80.38,40,3,8.41,BR,1627250109
Aksu,41.1231,80.2644,83.01,26,0,2.53,CN,1627250110
Barbalha,-7.3111,-39.3042,84.0,39,20,3.44,BR,1627250110
Arica,-18.475,-70.3042,62.83,72,90,10.36,CL,1627250111
Zelenoborsk,61.4669,64.0333,47.53,82,65,4.92,RU,1627250111
Cherskiy,68.75,161.3,50.4,55,12,7.7,RU,1627250112
Lethem,3.3803,-59.7968,77.05,94,20,11.5,GY,1627250112
Mount Gambier,-37.8333,140.7667,51.71,93,75,12.66,AU,1627250113
Shellbrook,53.2168,-106.4011,76.23,29,100,12.19,CA,1627250113
Huarmey,-10.0681,-78.1522,67.71,75,8,8.99,PE,1627249935
Kashgar,39.4547,75.9797,88.23,26,0,13.42,CN,1627250114
Palu,-0.8917,119.8707,73.13,93,36,3.27,ID,1627249949
Isangel,-19.55,169.2667,75.31,94,75,0.0,VU,1627250115
Severo-Yeniseyskiy,60.3725,93.0408,61.77,69,50,3.91,RU,1627250116
Matara,5.9485,80.5353,77.49,87,98,10.94,LK,1627250033
Khovd,48.0056,91.6419,63.82,61,43,2.93,MN,1627250117
Ojinaga,29.5667,-104.4167,101.57,23,1,3.44,MX,1627250117
Tiarei,-17.5333,-149.3333,82.42,67,1,7.92,PF,1627250118
Puerto Ayacucho,5.6639,-67.6236,80.11,84,99,2.55,VE,1627250118
Daboh,26.0025,78.8761,83.43,77,94,7.2,IN,1627250119
Pangnirtung,66.1451,-65.7125,52.25,86,100,2.24,CA,1627250119
Puerto del Rosario,28.5004,-13.8627,74.95,64,0,13.8,ES,1627250120
Kaeo,-35.1,173.7833,60.33,96,33,9.73,NZ,1627249948
Acapulco de Juárez,16.8634,-99.8901,86.41,73,28,12.55,MX,1627250121
Igrim,63.1906,64.4162,44.83,86,3,4.68,RU,1627250122
Forestville,38.8451,-76.875,90.27,66,75,1.01,US,1627250122
Havelock,34.8791,-76.9013,86.23,76,100,8.01,US,1627250123
Davila,18.4726,120.5763,80.58,87,91,26.17,PH,1627250123
Banjar,-8.19,114.9675,73.26,77,9,2.46,ID,1627250124
Saint Anthony,45.0205,-93.218,94.14,26,20,13.8,US,1627250124
Cedar City,37.6775,-113.0619,85.19,30,1,8.05,US,1627249943
Meulaboh,4.1363,96.1285,76.33,88,95,4.92,ID,1627249843
Arona,28.0996,-16.681,68.83,51,0,9.22,ES,1627250125
Itacoatiara,-3.1431,-58.4442,82.76,56,92,2.42,BR,1627250126
Moyale,3.5167,39.0584,67.35,54,89,15.17,KE,1627250126
Portland,45.5234,-122.6762,92.64,41,0,3.0,US,1627250102
Hohhot,40.8106,111.6522,68.29,94,40,4.47,CN,1627250127
Troitsk,54.0979,61.5773,50.68,70,0,7.72,RU,1627250128
Gizo Government Station,-8.103,156.8419,81.63,77,19,7.14,SB,1627250128
Moundou,8.5667,16.0833,74.89,84,100,4.03,TD,1627250129
Talnakh,69.4865,88.3972,56.35,94,100,4.07,RU,1627250129
Dekar,-21.5333,21.9333,46.96,58,0,8.41,BW,1627250130
Caranavi,-15.8167,-67.55,69.08,67,8,2.42,BO,1627250130
Tavda,58.0425,65.2726,47.62,74,54,5.59,RU,1627250131
Iquitos,-3.7481,-73.2472,75.24,94,75,3.44,PE,1627250132
Charters Towers,-20.1,146.2667,56.93,38,10,4.97,AU,1627250132
Berlevåg,70.8578,29.0864,44.91,82,99,17.05,NO,1627250133
Villa María,-32.4075,-63.2402,55.17,58,0,7.94,AR,1627249917
Harper,4.375,-7.7169,75.49,76,22,6.24,LR,1627250134
Chon Buri,13.3,101.3,84.51,93,100,3.42,TH,1627250134
Farmington,36.7281,-108.2187,89.1,56,40,8.05,US,1627250135
Nelson Bay,-32.7167,152.15,54.09,68,0,1.99,AU,1627250135
Aquidauana,-20.4711,-55.7872,81.61,32,0,4.03,BR,1627250136
Vila Velha,-20.3297,-40.2925,71.55,68,40,9.22,BR,1627249906
San Andrés,12.5847,-81.7006,86.02,74,20,12.66,CO,1627250137
Mae Ramat,16.984,98.5166,73.72,99,100,2.24,TH,1627250137
Bontang,0.1333,117.5,75.16,90,60,5.37,ID,1627250138
Lázaro Cárdenas,17.9583,-102.2,85.95,73,17,10.33,MX,1627250138
Tessalit,20.1986,1.0114,93.22,29,100,12.53,ML,1627250139
Belgrade,44.804,20.4651,80.26,50,0,13.8,RS,1627250139
Codajás,-3.8367,-62.0569,82.9,62,63,1.36,BR,1627250140
Gōtsuchō,35.0,132.2167,77.34,73,7,3.74,JP,1627250140
Kousséri,12.0769,15.0306,75.16,94,20,2.3,CM,1627250141
Jadu,31.953,12.0261,79.23,21,0,11.5,LY,1627250141
Tamlūk,22.3,87.9167,82.38,79,100,7.14,IN,1627250142
Yaan,7.3833,8.5667,71.44,92,76,5.01,NG,1627250143
Nizhnyaya Tavda,57.6731,66.1725,51.26,67,34,6.76,RU,1627250143
Kambove,-10.8764,26.5969,54.93,48,28,6.87,CD,1627250144
Ryōtsu-minato,38.0833,138.4333,80.56,75,1,1.9,JP,1627250144
Poltavka,54.3663,71.7632,55.94,84,14,13.56,RU,1627250145
Manche,49.0,-1.1667,62.01,99,93,4.59,FR,1627250145
Tomelloso,39.1522,-3.0243,78.51,47,45,13.6,ES,1627250146
Kulykivka,51.3735,31.6466,62.28,86,75,4.61,UA,1627250146
Juneau,58.3019,-134.4197,60.84,94,98,0.89,US,1627250000
Caucayá,-0.1934,-74.7819,76.35,88,90,1.14,CO,1627250148
Zhigalovo,54.8097,105.1578,57.96,78,82,2.26,RU,1627250148
Copiague,40.6815,-73.3998,86.47,76,58,1.01,US,1627250149
Bac Lieu,9.285,105.7244,78.24,88,98,8.16,VN,1627250149
Metro,-5.1131,105.3067,70.07,89,2,3.94,ID,1627250150
Nabire,-3.3667,135.4833,76.03,85,100,4.25,ID,1627250150
Qiongshan,20.0058,110.3542,78.78,94,40,8.95,CN,1627250151
Camaná,-16.6228,-72.7111,60.42,85,73,3.02,PE,1627250151
Porterville,36.0652,-119.0168,101.75,17,1,5.75,US,1627250152
Ola,59.5833,151.2833,55.0,94,100,3.09,RU,1627249967
Ballina,-28.8667,153.5667,49.96,57,0,8.05,AU,1627250152
Lábrea,-7.2586,-64.7981,87.53,42,81,2.24,BR,1627250153
Bandar-e Lengeh,26.5579,54.8807,95.11,49,42,4.61,IR,1627250154
Cimişlia,46.52,28.7842,69.94,52,52,3.6,MD,1627250154
Loncoche,-39.3667,-72.6333,50.68,95,84,4.21,CL,1627250155
Phuket,8.0,98.25,87.1,78,20,14.97,TH,1627250155
San Patricio,28.017,-97.5169,95.72,46,0,13.44,US,1627250156
Moose Factory,51.2585,-80.6094,60.8,77,20,13.8,CA,1627250156
Dossor,47.5272,52.9811,79.41,29,0,16.28,KZ,1627250157
Sur,22.5667,59.5289,93.22,49,54,9.4,OM,1627250158
Yulara,-25.2406,130.9889,42.64,61,4,4.61,AU,1627250158
Irtyshskiy,58.3333,68.1333,49.12,74,17,9.46,RU,1627250159
Abay,49.6311,72.8539,64.78,85,32,11.07,KZ,1627250159
Nangong,37.3581,115.3744,75.29,79,3,7.45,CN,1627250160
Chiplūn,17.5333,73.5167,77.2,93,100,8.63,IN,1627250160
Teya,60.3778,92.6267,63.57,72,39,2.75,RU,1627249961
Beloha,-25.1667,45.05,62.31,64,64,10.96,MG,1627250161
Soe,-9.8607,124.284,60.39,65,30,4.5,ID,1627250161
Teguise,29.0605,-13.564,68.22,78,20,20.71,ES,1627250162
Myaundzha,63.0494,147.1858,53.06,97,100,4.9,RU,1627250162
Flin Flon,54.7682,-101.865,66.04,63,40,5.75,CA,1627250163
Sault Ste. Marie,46.5168,-84.3333,79.09,48,1,12.66,CA,1627250009
Russell,32.3502,-85.1999,92.91,60,1,4.61,US,1627249891
Hervey Bay,-25.2986,152.8535,58.03,60,4,12.44,AU,1627250071
Chu,43.5983,73.7614,80.22,20,0,8.59,KZ,1627250165
Waipawa,-41.4122,175.5153,50.63,89,100,15.35,NZ,1627250165
Kwinana,-32.25,115.7667,55.92,64,15,21.72,AU,1627250166
Egvekinot,66.3167,-179.1667,44.94,89,100,1.61,RU,1627249970
Carutapera,-1.195,-46.02,76.91,84,92,6.26,BR,1627250166
Basqal,40.7552,48.391,66.47,68,1,4.43,AZ,1627250167
Ixtapa,20.7,-105.2,90.23,71,24,5.01,MX,1627250167
Isiro,2.7739,27.616,67.95,94,100,1.16,CD,1627250168
Ust'-Koksa,50.2696,85.6108,54.66,91,85,0.78,RU,1627250168
Monrovia,6.3005,-10.7969,76.21,77,97,7.25,LR,1627249923
Ngunguru,-35.6167,174.5,60.17,86,22,11.92,NZ,1627250169
Tadine,-21.55,167.8833,73.83,69,6,14.54,NC,1627250170
Belaya Gora,68.5333,146.4167,51.76,48,8,11.83,RU,1627250170
Jaora,23.6333,75.1333,74.01,97,100,15.37,IN,1627250171
Arrondissement d'Arcachon,44.5875,-1.0519,64.72,94,20,2.3,FR,1627250171
Sioux Lookout,50.1001,-91.917,80.67,39,75,16.11,CA,1627250172
Benguela,-12.5763,13.4055,69.39,84,46,4.16,AO,1627250173
Lazarev,52.225,141.5131,60.93,96,100,21.25,RU,1627250174
Buinsk,54.95,48.2833,58.89,59,72,3.74,RU,1627250174
Yerbabuena,20.9667,-101.2667,83.05,35,29,10.69,MX,1627250175
Pimentel,-6.8367,-79.9342,71.89,79,40,4.0,PE,1627250175
Basoda,23.85,77.9333,76.37,90,99,13.71,IN,1627250176
Kjøllefjord,70.9457,27.3465,44.73,82,100,13.67,NO,1627250176
Ubon Ratchathani,15.1667,105.1667,75.09,95,100,8.9,TH,1627250177
Amazar,53.858,120.875,61.09,91,96,4.34,RU,1627249967
Amahai,-3.3333,128.9167,76.01,87,99,3.62,ID,1627250178
Mandalgovi,45.7625,106.2708,58.55,82,100,10.2,MN,1627250178
Great Falls,47.5002,-111.3008,96.93,11,1,3.0,US,1627249993
Katsuura,35.1333,140.3,82.11,78,40,14.72,JP,1627250179
Ahipara,-35.1667,173.1667,59.41,89,14,12.86,NZ,1627250180
Evensk,61.95,159.2333,49.23,99,100,7.7,RU,1627250180
Oron,4.8256,8.2343,73.65,85,83,3.42,NG,1627250181
Bagdarin,54.4333,113.6,56.84,77,67,4.03,RU,1627250181
Laas,46.6166,10.7002,60.03,88,57,2.66,IT,1627250182
Ombessa,4.603,11.2565,67.12,98,100,3.74,CM,1627250183
Mt. Pleasant,32.7941,-79.8626,88.3,75,40,1.01,US,1627249949
Sisimiut,66.9395,-53.6735,48.06,73,100,8.12,GL,1627250184
Anadyr,64.75,177.4833,52.3,100,90,4.0,RU,1627250184
Hochstadt,49.2475,8.2089,69.67,69,69,4.97,DE,1627250185
Honningsvåg,70.9821,25.9704,45.63,75,100,12.57,NO,1627250185
Toora-Khem,52.4675,96.11,58.87,97,100,1.05,RU,1627250186
Campbell River,50.0163,-125.2446,78.26,45,20,8.05,CA,1627250186
Sulangan,11.1373,123.7228,84.07,71,56,14.72,PH,1627250187
Gamba,-2.65,10.0,70.45,90,83,1.63,GA,1627250187
Arlit,18.7369,7.3853,99.79,14,61,12.1,NE,1627249935
Tūkrah,32.5341,20.5791,78.49,68,0,8.97,LY,1627250188
Mbandaka,0.0487,18.2603,73.9,66,91,3.74,CD,1627250189
Sinjār,36.3209,41.8754,91.89,23,0,9.91,IQ,1627250189
Cockburn Town,21.4612,-71.1419,85.96,70,40,9.22,TC,1627250190
Philadelphia,39.9523,-75.1638,88.99,67,56,7.0,US,1627250075
Port Blair,11.6667,92.75,81.93,86,100,17.49,IN,1627250191
Plettenberg Bay,-34.0527,23.3716,58.55,46,98,6.38,ZA,1627250191
Katsina,12.9894,7.6006,78.73,72,91,12.62,NG,1627250192
Batticaloa,7.7102,81.6924,81.43,74,100,3.94,LK,1627250193
Jacareacanga,-6.2222,-57.7528,84.63,40,37,1.45,BR,1627250193
Chiang Klang,19.2938,100.8617,74.62,100,100,1.74,TH,1627250194
Altea,38.5989,-0.0514,80.37,90,22,1.66,ES,1627250194
Poum,-20.2333,164.0167,72.91,74,4,18.41,NC,1627250195
Rengasdengklok,-6.1592,107.2981,78.57,84,22,4.56,ID,1627250195
Gondanglegi,-7.7479,112.0132,68.88,89,9,5.08,ID,1627250196
Necochea,-38.5473,-58.7368,46.04,85,100,16.58,AR,1627250196
Ratlām,23.3167,75.0667,73.06,97,100,14.67,IN,1627250197
Igarka,67.4667,86.5833,53.58,95,66,4.21,RU,1627250198
